DATE,GDP_PCH,CPALTT01USM657N
1947-04-01,1.15313,.
1947-07-01,1.47052,.
1947-10-01,4.07076,.
1948-01-01,2.30880,.
1948-04-01,2.56828,.
1948-07-01,2.43206,.
1948-10-01,0.41906,.
1949-01-01,-1.90180,.
1949-04-01,-1.33911,.
1949-07-01,0.56679,.
1949-10-01,-0.82891,.
1950-01-01,3.76939,.
1950-04-01,3.40244,.
1950-07-01,6.11950,.
1950-10-01,3.82667,.
1951-01-01,5.01805,.
1951-04-01,2.40774,.
1951-07-01,2.12008,.
1951-10-01,1.36403,.
1952-01-01,1.02252,.
1952-04-01,0.33628,.
1952-07-01,1.84777,.
1952-10-01,3.56567,.
1953-01-01,1.88229,.
1953-04-01,0.97144,.
1953-07-01,-0.14754,.
1953-10-01,-1.32960,.
1954-01-01,-0.16193,.
1954-04-01,0.20138,.
1954-07-01,1.26256,.
1954-10-01,2.23481,.
1955-01-01,3.33697,.
1955-04-01,2.04782,.
1955-07-01,2.06129,.
1955-10-01,1.59709,.
1956-01-01,0.60719,.
1956-04-01,1.42446,.
1956-07-01,1.16163,.
1956-10-01,2.05501,.
1957-01-01,2.02318,.
1957-04-01,0.47810,.
1957-07-01,1.58148,.
1957-10-01,-0.96478,.
1958-01-01,-1.54234,.
1958-04-01,0.94922,.
1958-07-01,2.93721,.
1958-10-01,2.82273,.
1959-01-01,2.15692,.
1959-04-01,2.41471,.
1959-07-01,0.45556,.
1959-10-01,0.67919,.
1960-01-01,2.65759,0.00038695796862533333
1960-04-01,-0.28895,0.22637303508973933333
1960-07-01,0.83611,0.00000000000000000000
1960-10-01,-0.99101,0.22522522522522600000
1961-01-01,0.89245,0.00000000000000000000
1961-04-01,1.93150,0.00000000000000000000
1961-07-01,2.18146,0.22408525559970033333
1961-10-01,2.28093,0.00000000000000000000
1962-01-01,2.30808,0.11111111111111166667
1962-04-01,1.06951,0.11074197120708800000
1962-07-01,1.44262,0.22038627703830066667
1962-10-01,0.53413,0.00000000000000000000
1963-01-01,1.53394,0.10964912280701800000
1963-04-01,1.29972,0.10928961748633933333
1963-07-01,2.33298,0.10893246187363866667
1963-10-01,1.47321,0.21680274123270966667
1964-01-01,2.42898,0.00000000000000000000
1964-04-01,1.32155,0.10787486515641900000
1964-07-01,1.96810,0.10787262732081800000
1964-10-01,0.76413,0.10718113612003633333
1965-01-01,2.93567,0.10683760683760733333
1965-04-01,1.72766,0.31881049768353766667
1965-07-01,2.62014,0.00000000000000000000
1965-10-01,3.00725,0.21063770315058200000
1966-01-01,3.09345,0.31381027253668900000
1966-04-01,1.16207,0.31088349424045866667
1966-07-01,1.82079,0.30800886356442033333
1966-10-01,1.66708,0.20387359836901200000
1967-01-01,1.30421,0.10131712259371866667
1967-04-01,0.57015,0.30211664197759100000
1967-07-01,1.91405,0.29940298686388733333
1967-10-01,1.87302,0.29673764694308100000
1968-01-01,3.17072,0.39187443141948500000
1968-04-01,2.74438,0.38731766961683333333
1968-07-01,1.76391,0.38287203769479366667
1968-10-01,1.80948,0.37852418816231966667
1969-01-01,2.61428,0.56049224015656333333
1969-04-01,1.57882,0.45964975453769400000
1969-07-01,2.07488,0.45339887285717800000
1969-10-01,0.79528,0.53620330692514066667
1970-01-01,1.25734,0.44022276932137966667
1970-04-01,1.53872,0.52107176296743300000
1970-07-01,1.75046,0.34276147678209666667
1970-10-01,0.23470,0.50762293329370566667
1971-01-01,4.27592,0.16729428260769233333
1971-04-01,1.86010,0.49772333021870666667
1971-07-01,1.85112,0.16400188813981466667
1971-10-01,1.07177,0.24469853140930466667
1972-01-01,3.38672,0.24291625182383666667
1972-04-01,2.90588,0.24096478817537066667
1972-07-01,1.91074,0.31879167651217866667
1972-10-01,2.97063,0.31577168613730800000
1973-01-01,3.65610,0.62397346738689166667
1973-04-01,2.64227,0.68809511318404800000
1973-07-01,1.41107,0.75128096946856266667
1973-10-01,2.96066,0.73214842009877300000
1974-01-01,1.01064,1.14151365151583300000
1974-04-01,2.60507,0.83048510311023733333
1974-07-01,1.95875,1.07696714313255600000
1974-10-01,2.54182,0.84920672886232966667
1975-01-01,1.02752,0.51135438476367800000
1975-04-01,2.21129,0.56616469702898066667
1975-07-01,3.50921,0.61879700597945833333
1975-10-01,3.04190,0.54657055072079166667
1976-01-01,3.32926,0.23970129331002033333
1976-04-01,1.74926,0.53392256072545566667
1976-07-01,1.84772,0.46733170512259333333
1976-10-01,2.52921,0.34612416373851233333
1977-01-01,2.81113,0.73930796469914100000
1977-04-01,3.38225,0.66789535051168333333
1977-07-01,3.04313,0.38296672515899033333
1977-10-01,2.16179,0.37861588769852233333
1978-01-01,1.77843,0.69301164762374933333
1978-04-01,5.85052,0.93762732903424366667
1978-07-01,2.71998,0.66035597592870933333
1978-10-01,3.41938,0.59815112879378566667
1979-01-01,2.00493,1.02353020045475500000
1979-04-01,2.55825,1.17993348648315666667
1979-07-01,2.94522,1.04936795697754666667
1979-10-01,2.11121,0.92971968446283400000
1980-01-01,2.42151,1.4563177856260700
1980-04-01,0.26919,1.07049810846104400000
1980-07-01,2.11382,0.52195001337898800000
1980-10-01,4.51863,0.90450838837135133333
1981-01-01,4.64399,0.84273353379032966667
1981-04-01,1.22674,0.78482293918144600000
1981-07-01,3.10122,0.94767538529709400000
1981-10-01,0.61979,0.28532072529483700000
1982-01-01,-0.19861,0.17719143568195200000
1982-04-01,1.76129,0.87475224280402266667
1982-07-01,1.03092,0.30843347111325166667
1982-10-01,1.07652,-0.10179803839678433333
1983-01-01,2.08231,0.10238917384648100000
1983-04-01,3.03549,0.54198464879082933333
1983-07-01,3.08286,0.40043744885317766667
1983-10-01,2.86045,0.19824954301483510000
1984-01-01,2.98700,0.42609657772074133333
1984-04-01,2.59840,0.35614815421400766667
1984-07-01,1.86176,0.41614762620838466667
1984-10-01,1.57436,0.09523809523809566667
1985-01-01,1.96736,0.34707522104066600000
1985-04-01,1.52994,0.37456540826975566667
1985-07-01,2.13943,0.21639338022768400000
1985-10-01,1.30668,0.30685424396849833333
1986-01-01,1.43561,-0.15223508146287800000
1986-04-01,0.83068,0.21446125061290066667
1986-07-01,1.37127,0.21281230531864366667
